Coop Konsum Lundby;Wieselgrensplatsen 8;417 17;GÖTEBORG
ICA Kvantum Focus;Åvägen 42;412 51; GÖTEBORG
ICA Supermarket Hultatorg;Hultatorg 1;507 30; BORÅS
ICA Supermarket Vallhamra;Vallhamra Torg 2;433 65; SÄVEDALEN
ICA Supermarket Prima;Skolvägen 7;433 61; SÄVEDALEN
ICA Supermarket Brunnsbo;Brunnstorget 3;422 42; HISINGS BACKA
ICA Maxi Borås;Trandögatan 20;504 33; BORÅS
Green Matmarknad;Västra Varvsgatan 46;211 15; MALMÖ
ICA City Sparköp;Sandgårdsgatan 20;503 06; BORÅS
Mataffären.se;Harpsundgatan 201;124 59; BANDHAGEN
Coop Konsum Landala;Kapellplatsen 4;411 31; GÖTEBORG
Coop Forum Backaplan;Backavägen 2;417 05; GÖTEBORG
Coop Extra Sjöbo;Såggatan 2B;275 39; SJÖBO
ICA Nära Söderlivs;Stora Södergatan 57;222 23; LUND
Tempo Sofiagatan;Sofiagatan 2;416 72; GÖTEBORG
ICA Supermarket Kivik;Killebacken;277 31; KIVIK
Coop Konsum Håstenshallen;Håstens torg 7;432 30; VARBERG
ICA City Brämhult;Brämhults torg;507 31; BRÄMHULT
ICA Supermarket Oasen;Backa 1;434 93; VALLDA
Coop Extra Eriksberg;Kolhamnsgatan 7;417 61; GÖTEBORG
ICA Kvantum Sjöbo;Östergatan 3;275 32; SJÖBO
Coop Konsum Frillesås;Karl Johans väg 1;430 30; FRILLESÅS
ICA Supermarket Byttorp;Vindelgatan 45;504 65; BORÅS
ICA City Knalleland;Skaraborgsvägen 25;506 30; BORÅS
Tomelilla Kommun;Gustavs Torg 16;273 80; TOMELILLA
Far i Hatten;Falsterbogatan 24;;
Coop Danmark;;;
Kniv & Gaffel Jägersro;Jägersrovägen 151;Malmö;
Åkagårdens Golfkrog;Lyngåkravägen 39;269 92; BÅSTAD
0;0;;
0;0;;
ICA Supermarket Lunden;Stupvägen 1;191 42; SOLLENTUNA
ICA Supermarket Kista Galleria;Hanstavägen;164 91; KISTA
ICA Kvantum Solna;Postgången 22 C;171 45; SOLNA
ICA Supermarket Alviks Torg;Gustavslundsvägen 22;167 51; BROMMA
ICA Supermarket Västermalmsgallerian;Ahlströmergatan 1, kajplats A;112 34; STOCKHOLM
Daglivs;S:t Göransgatan 64;112 34; STOCKHOLM
ICA Supermarket Kungsholmstorg;Kungsholms torg 12 ;104 22; STOCKHOLM
ICA Supermarket Sabbatsberg;Valentin Sabbats gata 12;113 61; STOCKHOLM
ICA Supermarket Esplanad;Nybrogatan 40;114 49; STOCKHOLM
ICA Kvantum Liljeholmen;Liljeholmstorget 3;117 63; STOCKHOLM
ICA Supermarket Södra Station;Rosenlundsgatan 48;118 63; STOCKHOLM
ICA Supermarket Aptiten;Torkel Knutssonsg. 16;118 49; STOCKHOLM
ICA Supermarket Folkungagatan;Kocksgatan 9;116 22; STOCKHOLM
ICA Supermarket Matmäster;Kocksgatan 55;116 30; STOCKHOLM
Goodstore;Skånegatan 92;116 37; STOCKHOLM
ICA Supermarket Ringen;Götgatan 132;118 62; STOCKHOLM
ICA Supermarket Globen;Arenavägen 59;121 77; JOHANNESHOV
ICA Supermarket Enskededalen;Åsgårdavägen 24-26;121 31; ENSKEDEDALEN
ICA Kvantum Tyresö;Östangränd 2;135 28; TYRESÖ
ICA Supermarket Hagsätra;Hagsätra Torg 28 / lastkaj;124 73; BANDHAGEN
ICA Supermarket Kvarnen;Kvarnbergsplan 10;141 45; HUDDINGE
ICA Kvantum BEA;Handelsvägen 188;124 38; ENSKEDE
ICA Supermarket Baronen;Döbelnsgatan 46;113 51; STOCKHOLM
ICA Supermarket Åkermyntan;Drivbänksvägen 5;165 74; HÄSSELBY
ICA Supermarket Metro;Marknadsvägen 15;183 34; TÄBY
ICA Supermarket Käppala;Holavedsvägen 1;181 64; LIDINGÖ
ICA Supermarket STOP;Bergtorpsvägen 45b;183 64; TÄBY
ICA Kvantum Arninge;Saluvägen 1;187 66; TÄBY
ICA Maxi Nacka;Per Hallströms väg 15;131 39; NACKA
